[00:00] 歡迎收聽《照華於股貨載地1181集》,今天是2026年的9月10號。
[00:12] AI半導體大爆發,選對投資標的要靠真功夫咯。
[00:16] 告訴大家一個好消息,00412A安聯亞洲半導體主動式的ETF,
[00:22] 由安聯的專業經理人直擊台日韓半導體核心,
[00:26] 鎖定AI關鍵拼圖,幫投資人把握科技成長的每一步。
[00:32] 00412A是不配息的ETF哦,9月16號到9月22號搶先開幕,每單位只要10塊錢好入手。
[00:41] 提醒大家,投資一定有風險,基金投資有賺有賠,申供前因,享月公開說明書。
[00:48] 今天的股票市場真的又比較冷一點哦,昨天就講說上市的成交量已經萎縮了,哇,今天一度預估量看起來就6000多億,當然在尾盤,有一些科技的消息傳進來之後,有燒燒的點火,例如被動元件,有講到春田製造所可能有一些MLCC的標準品不生產了,不管3721啦,所以很多中小型的被動元件先拉再說,讓這個尾盤有一點點的熱度,
[01:17] 所以中場我們的量能大概是有在7139億,偏冷,為什麼呢?其實還是有點忌憚,今天晚上PPI,明天的CPI,下個禮拜的延準會,很難免這個事情還是有點像是一個鍋蓋放在這裡。
[01:32] 當然今天我們錄音之前我們花了一點時間討論,結果也不是討論股票就知道今天的盤面多冷了,我們在討論這個iPhone 18還有它的折疊機叫做Dew,普通版的要7萬5,貴的要11萬8千多,要不要買呢?喜歡什麼顏色呢?
[01:52] 我們前面就花了一點時間在聊這個,而且現在快要展開預購了,就想說快去登記,還是有沒有好朋友,可以趕快弄一支來之類的。
[02:04] 我們等一下也會把這個到底蘋果新品對台股造成的影響也會聊一下,因為今天大家看到新日星啊,突然說啊,就這樣墜落耶,奇怪,到底是在反映什麼事情。
[02:17] 我們還是會很期待一些些可以激勵的消息。
[02:21] 像今天講的公司裡面,有一檔叫光照連長兩天,他還是反映在台積電跟艾斯摩爾在高階的光照設備上面的一些合作。
[02:31] 但是到底是不是我們台廠可以吃到這些最高階的設備端呢?目前可能還有,但要釐清。
[02:39] 但是股票就是先強再說。
[02:41] 今天大家也可以看到比較漲停的股票都是不能算是很熱,只能這麼講,不能算是很熱,所以就是一個有點點冷冷淡淡的盤,尤其是看到台積電結出來的營收,怎麼樣?突破5000億大關,年增50幾%、月增超過10%,我必須講哦,非常好,非常好,可是呢,個股期尾盤殺下去了。
[03:11] 並且也請留意,如果您有任何問題,請留言、留言,並且請按讚、訂閱、分享、分享。
[03:41] 是利多還是利空?其實我覺得大家都相對比較沒有什麼太大的一個激情。
[03:49] 然後其實不只是一般投資人,我看到法人的部分也是這樣。
[03:54] 因為看到法人的進出的這個買賣超的金額,不是只有買賣超結出來的數字,
[04:01] 是他的進出就買進跟賣出的金額基本上都相對比較少。
[04:06] 所以在這種情況之下,那行情就會相對的比較壓縮。
[04:10] 往好的方向想呢,我認為這個可能是關錢整理。
[04:17] 為什麼呢?因為現在大家最關心的就是聯準會可能要不要升息這件事情。
[04:24] 但是這件事情目前我想大家的觀望大概就只會到明後天,就是CPI跟PTI的這兩個數字出來之後,
[04:35] 我覺得大家的這種觀望的心態大概就會慢慢的消失。
[04:40] 然後所以呢在整個的一個股價就有機會往上去做一個表態
[04:46] 所以整體來看我覺得這個比較像是關錢整理的一種感覺
[04:51] 那麼當然從排面上來看我們在上禮拜跟大家分享
[04:55] 說那一天修正疊的好像也是點數好像也是蠻可怕的
[05:01] 可是今天跟那天差不多哪個地方不一樣
[05:04] 就是疊點不一樣變得比較少
[05:07] 那一樣的地方在於說上次我們來上節目的時候那一天雖然說是下跌但是沒有跌停板加速今天也沒有今天集中市場跟櫃買都沒有跌停板加速雖然好像大家都冷冷的但是至少大家沒有說很喪失這個理性的去把這個手中的股票把它砍出來所以我才說現在比較像是一種關錢整理的氛圍
[05:37] 確定性因素消失之後,其實還是有機率往上去做一個突破。
[06:07] 但是呢,隨即就還沒有等到聯準會正式開會,就慢慢指數就開始攻了。
[06:14] 不曉得這一次會不會有類似的情況,就是可能提早一個禮拜大家該怕的也怕了,然後該停的也停了,該等的也等了。
[06:24] 最後,管理聯準會要講哪一個部分,我都先講再說,會不會有這樣的一個味道在?
[06:29] 其實有可能,因為我們從近期的美國股市來看,其實美國股市說真的除了費辦之外,基本上包括像是道瓊跟S&P500在最近的一個走勢上都是相對比較拉回。
[06:46] 那費辦為什麼比較強?我個人覺得是因為之前當道瓊跟S&P500他們在創高的時候,其實費辦比較沒有動盪。
[06:55] 這幾個市場的股市是在等待著股市的進步,並且在等待著股市的進步。
[07:25] 本市場的投資和投資有多大?
[07:55] 甚至還出現融資減少的情況。當天融資在集中市場減少20億,在電腦市場減少3.9億。所以這些都是讓我判斷現在的行情比較像是關錢整理的一個原因。
[08:12] 好,那既然是關錢整理,我們就多一點點的耐性,剛剛有特別提到,在整理的過程中,好像呢,端了一些美食上來,可是大家不一定有胃口想要吃它,大家現在的口味可能略為偏食,因為呢,我們今天也在等所謂台積電的營收嘛,那到今天的晚上為止,會陸陸續續,原則上比較正常的話,8月的營收要全數結出來,結不出來當然就會有點壓力了。
[08:39] 好,當然台積電就很準時的在今天下午一點半他就把營收放上來了。
[08:44] 那我們有看到剛剛也特別提到首度呢突破了所謂的5000億元的大關來到了5148.05億元年增率是53.32%那月增率是超過10個百分點。
[08:55] 我還蠻重視所謂的月增率因為在8月我們看到有蠻多人的營收是8月的月增率有點那種高原期就是我有創新高我也有月增可能月增的幅度很小。
[09:09] 雙位數月增是已經繳出滿漂亮成績單的。
[09:13] 那當然看到尾盤並沒有任何表現,過去來說因為期貨比較晚收盤嘛,所以我們也會看一下期貨可能歡欣鼓舞拉一下,然後夜盤開盤的時候再往上拉一下,台積電的ADR盤前拉一下,這些可能都會是一個現象。
[09:29] 那我就有聽到我同事看到這個數字出來第一時間他也是check這個所謂個股息的表現
[09:35] 然後就講了一句話說我現在體感有點失靈了我看不出來這樣是好還是不好
[09:40] 然後我就有跟同事講說他很好我說可是市場是真的很冷淡
[09:45] 如果他不好市場就不是冷淡市場是合理反應
[09:49] 那因為他很好市場卻沒有任何反應的情況下
[09:53] 你就知道現在的市場胃口不是很好
[09:56] 為什麼說有點偏食?就從今天大家去看上漲的加速啊,上漲的到底是哪一些公司,你就知道現在要偏食嘛。
[10:03] 因為比較熱門的主要的主流族群反而在今天是幾乎都沒有什麼表現的,所以就會主力去點他們自己想要做的一些股票。
[10:14] 那當然好處就是說,台積電它不漲也不跌啦,你說殺個尾盤也是幾塊錢的事情而已,不是說什麼看到這個營收還突然跟你灌了2%那就有點離譜了。
[10:23] 他一樣是呈現韋泰獎的關錢整理。
[10:28] 事實上這種整理有時候就是敘事。
[10:31] 敘事等到這些利空的因子被拿掉,
[10:35] 或者是利空的因子被證明不確定性素被拿掉的時候,
[10:41] 他可能就會再往上走。
[10:42] 目前我還是以比較樂觀的想法,
[10:45] 因為目前看起來要很認真的回應我們八月元收的狀況,
[10:50] 各家好的情形目前是幾乎沒有大部分沒有特別反應的
