[00:00] 歡迎收聽,照華語股貨載地1182級AI半導體大爆發,選對投資標的要靠真功夫咯。
[00:13] 告訴大家一個好消息,00412A安聯亞洲半導體主動式的ETF,由安聯的專業經理人直擊台日韓半導體核心,鎖定AI關鍵拼圖,幫投資人把握科技成長的每一步。
[00:28] 004ERA是不配息的ETF哦,9月16號到9月22號搶先開幕,每單位只要10塊錢好入手。
[00:38] 提醒大家,投資一定有風險,基金投資有賺有賠,申購前因享月公開說明書。
[00:58] 我覺得還是算不是那麼恐慌了,例如說我們有看過這種1000多點快2000點的這樣的跌點,當然今天並沒有這個樣子。
[01:07] 不過昨天晚上看到的數據都指向比較有壓力的部分,不用悲觀哦,是有壓力。
[01:14] 例如說像油價突破100美元這件事情,PPI昨天晚上是略略高於市場的預期哦。
[01:21] 公債的殖利率,其實現在十年期公債殖利率真的非常逼近5%的一個臨界點,過了5%它確實會對整體市場的資金流向會有顯著的影響。
[01:35] 好,這些都是我講壓力,可是不是悲觀,是因為我們還是有同時看到強勁的基本面在做支持,只是現在市場沒有胃口,市場現在沒有風險胃口。
[01:47] 昨天台積電的營收,我必須講不要看到股價沒有漲就覺得人家是不是營收哪裡有問題,其實沒有問題,沒有任何問題,就是現在吃不下,大家吃不下好消息,那這個壓力恐怕真的要等到像今天晚上還有CPI,那下禮拜還有聯準會的利率決策會議,他總會在某一個樞紐讓你覺得,好啦,給你升嘛,升就升啊,然後呢,回歸基本面吧,總要有這麼一刻,那我先來歡迎今天的來賓,今天星期五,謝謝大家。
[02:17] 新奇五男孩國家基金操盤手凱哥
[02:47] 接下來動作又開始有點疑慮
[02:49] 所以這個指數基本上我不認為是台灣自己不好
[02:52] 而是台灣其實也是在看美國的市場的走勢
[02:56] 然後看看鄰居在幹嘛
[02:58] 那我們可以看到基本上美國的形態是稍微弱一點
[03:01] 你可以看到納指的形態基本上月線是下彎的
[03:04] 那但是好處是我們的鄰國
[03:06] 我們的鄰居韓國基本上月線還在上彎
[03:09] 所以其實全球市場目前只有兩個地方的月線是上彎的
[03:13] 一個就是韓國一個就是台灣的大盤
[03:17] 所以你說台灣也不像之前一樣
[03:19] 之前是大家都越線沒上彎
[03:21] 只有我們自己上彎
[03:22] 所以我們會怎麼走得啪啪的
[03:24] 可是韓國也在越線上彎
[03:26] 但是今天還在上彎的過程裡面
[03:28] 其實今天有一點點的遺憾
[03:30] 就是大盤有去護
[03:32] 大盤政府有在護
[03:34] 但是他沒有護到電子股
[03:36] 沒有護到電子股
[03:37] 所以你看台積電中場是均價性還是跌破的
[03:40] 所以感覺上相對上電子是比較吃力的
[03:43] 但是我必須跟大家講就是說
[03:45] 我們昨天因為看到這個川普的什麼半導體關稅200%這件事情
[03:50] 然後大家覺得說好像台灣又怎麼了
[03:53] 因為昨天就很多人都問我說要不要先賣股票
[03:56] 我心裡想說其實這一波散戶就不多了
[03:59] 其實這一波上來其實散戶很多都在場外觀看
[04:03] 其實沒有進來
[04:04] 那你說你這邊還要再走
[04:05] 基本上我覺得今天會走的很多就是所謂的快槍俠
[04:10] 就是他們就是殺來殺去的
[04:12] 所以今天一感覺好像氣氛不太對
[04:14] 我們就很勇敢的再把手上的股票殺出來
[04:17] 反正他們股票就是不對殺
[04:19] 一點點好才會開始衝進來
[04:21] 所以你可以看到昨天還不錯的像被動元件
[04:25] 因為昨天就拉了嘛
[04:27] 所以昨天一定有很多的當沖、隔日沖都進來了
[04:30] 今天就怎麼樣?就殺下來
[04:32] 或者是前一陣子看起來還不錯的
[04:35] 像什麼雙紅、金色
[04:37] 其實這些都是有投信在裡面的
[04:40] 其實這兩天也都殺下來
[04:42] 所以目前的資金其實我個人覺得其實外資應該不會很大的動作
[04:49] 因為外資基本上隨著這個暑假剛結束
[04:52] 他們也還在慢慢的頭腦剛醒過來
[04:55] 雖然不會有太大的動作
[04:56] 那這邊會比較動作
[04:58] 我說那就是這個市場的這個小主力們
[05:01] 他們會影響到市場的氛圍
[05:04] 但是我們繼續看我們常常講嘛
[05:06] 就是我們看大盤我們也看00632R
[05:08] 00632R基本上他的周的大張地沒有站上
[05:12] 所以不要認為現在是一個很大的空頭,但是確實它在前方的9.63那個低它守住了,它那個低守住了,也就是說目前看起來這個大盤短時間要再大漲是有難度的,但是你說它要大跌也還不至於,也還不至於。
[05:27] 那我微微看了一下大盤,基本上它大概大量低落在47,000億,所以離目前的46184其實也沒有差到很遠,因為大概就是在八九百點的空間。
[05:39] 所以,基本上在升息率決定之後,基本上彈上去,我覺得也不會太困難。
[05:46] 只是現在市場是沒有信心,大家對這個盤的想法就是比較觀望。
[05:53] 我們看以台積電來講,台積電目前的月線是往上的,而且他的季線是往上的,他大量高還有守住。
[06:00] 就告訴你,這個盤基本上有台積電在裡面撐著,基本上這個盤不容易有太大的變化,只是這個時間點其實就會比較難做。
[06:09] 我們剛剛講到最近其實主力其實我認為像經測、雙鴻、富橋基本上主力都還在裡面
[06:16] 只是個別公司它就是個別公司的它不是整個大的族群
[06:21] 就好像我們早期我們看到雙鴻漲、齊鴻、建設漲是一整掛往上漲
[06:28] 現在不是現在就只有單兵點火
[06:30] 單兵點火它就沒有辦法帶動整個大部隊往前走了
[06:33] 所以這就會讓整個行情現在比較什麼
[06:36] 比較光旺
[06:39] 所以我覺得現在這個盤基本上是光旺的成分居高
[06:44] 那什麼時候再回來
[06:46] 基本上我剛剛講了
[06:47] 第一個是台積電
[06:49] 台積電要往上走
[06:50] 再來就是大盤的指數
[06:52] 47000要站上
[06:53] 我覺得櫃買才有信心開始回頭
[06:56] 因為其實櫃買總是
[06:58] 他就跟在大盤的後面
[06:59] 他看大盤穩了
[07:00] 他就開始往前衝
[07:02] 大盤開始不穩
[07:02] 他就跑的都比誰還要快
[07:04] 所以你看今天大盤
[07:05] 雖然是站在軍價線上,可是我們櫃買並沒有,櫃買其實一度有拉上軍價線,可是後來發覺好像大盤有點虛虛的,他還是先撤退了。
[07:14] 所以目前我覺得因為大盤其實沒有離很遠,這個軍價線的位置,大量低的位置沒有離很遠,所以我覺得一旦他站上了櫃買他就會急起直追,大概是這樣的想法。
[07:25] 好,因為今天凱克來說,其實大盤還是有一股力量在這邊撐著,我自己隱約也是有這樣的感覺啦。
[07:33] 因為壓力,我雖然說不叫悲觀是壓力,但我覺得壓力挺大的,因為剛剛還有特別提到,這個關稅的問題,其實我一開始聽到川普在講要課晶片關稅、半導體關稅100%、200%,我就覺得我們現在是回到去年5月那個時代了嗎?
[07:51] 因為他動不動最近他對聯準會或是對一些相關議題他的態度有點回到他覺得好像關稅那個時候講這件事情最有效的狀態
[08:01] 因為大家還記得嗎?
[08:03] 升息的這個比率上來的時候他跟聯準會的喊話是喊說我要跟這些貿易就是出超到美國的國家進行課稅
[08:11] 回到關稅戰時代覺得聽力的事情可是卻集中而來的時候感覺壓力還是挺大的
[08:19] 但是我也必須講,凱哥也講啦,九月你本來就是覺得會升息。
[08:23] 其實我覺得很有趣啦,有人覺得九月無論如何就算升息機率70%也不會升。
