[00:00] 歡迎收聽,趙淮國貨載地1184集AI半導體大爆發,選對投資標的要靠真功夫咯。
[00:13] 告訴大家一個好消息,00412A安聯亞洲半導體主動式的ETF,由安聯的專業經理人直擊台日韓半導體核心,鎖定AI關鍵拼圖,幫投資人把握科技成長的每一步。
[00:28] 004ERA是不配息的ETF哦!9月16號到9月22號搶先開幕,每單位只要10塊錢好入手。提醒大家,投資一定有風險,基金投資有賺有賠,深貢前因,享用公開說明書。
[00:45] 今天是2026年的9月15號,哎呀,這個股市提早進入到秋冬了,因為這兩天還有氣溫回暖,但股市的成交量卻是日益的萎縮。
[00:58] 今天我發生一件大概近十年來很少發生的事情,就是我今天早上竟然睡過頭了。
[01:05] 睡過頭,因為我以前會在鬧鐘響之前可能本人就會驚醒,大家知道這個工作上面比較奴性,比較瘋狂的人,
[01:13] 很容易就是神經是緊繃的,但我今天睡過頭,而且睡起來已經開盤了,結果我看到指數的時候想,哎呦,那個時候是在平盤的附近,幾乎沒有什麼波動,再看一下預估成交量是5000多億,我就想,我好像也沒錯過什麼,多睡兩個小時是對的。
[01:32] 好,那後來中場壓力比較大,最後下跌了351點,量能大概就是6000億的附近,以上是量來說真的冷搜搜。
[01:42] 那大家會想說,奇怪,本來以為上個禮拜五CPI出來之後,對於升息這件事情,反正板上釘釘啦,機率都這麼高啦,無所謂啦。
[01:51] 但是不是6日的AI末日,AI降速降規,還有當然現在油價居高不下,形成了一個相當大的壓力在這個地方,到底該如何解決呢?川普都急到打電話給黃仁勳在Live的節目裡面打耶!我們的Podcast有沒有這麼一天啊?有沒有哪一天我們打給今天的來賓,就是我們的AI達人蔡明翰!歡迎明翰!
[02:16] 請不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[02:46] AI前景,剛好今天來聊這個,就是在這個六日包括到昨天,都一直圍繞在Anthropic講的,就是AI末日論。
[02:54] 什麼意思呢?這個第一次Anthropic的執行長自己就有講,他說他們有研發出一些模型,會發現這些模型的智慧因為超出人類可以控制,他們會自己去攻擊或是去害盡別人的系統。
[03:08] 他開始害怕,他擔心這樣子下去呢,這個AI造成的後面發展過速的動亂是我們control不了的。
[03:16] 甚至還提到說如果再研發一些生技的藥品,也會研發出是對人類有害而不見得是完全有利的。
[03:23] 那剛好也有人從這個Anthropic離職,那離職的這位工程師也提到說,他覺得在這樣發展下去,10年內AI會殲滅掉所有人類。
[03:32] 總之這個市場上就突然出現了一些很奇妙的這樣言論,而且馬斯克還有戰瞎說,他也覺得大家不要投資的這麼快,所以川普才會打電話給黃仁勳。
[03:42] 我覺得這個事情似乎已經有點凌駕在就是總經環境上,還是其實反過來,你覺得現在還是總經環境的問題?
[03:51] 我覺得我們先講這個AI是不是該放緩的議題好了,先聊一下。
[03:56] 我個人覺得我先講結論好了,我覺得結論就是不要花太多時間去了解。
[04:03] 因為我們每次Podcast講一小時,你就說不要花太多時間去了解。
[04:07] 對,因為我說稍微抒發一下我自己的感受,所以先講結論,真的我覺得啦,對我觀感,我覺得這個議題兩天,就是兩天結束之後沒有人會再去關心。
[04:19] 對,應該還有一個更大的問題,它有一個為什麼這個時間一定很短暫,因為後面還有一個大家更關注就是FOMC,所以這個所有的議題就在這個利率會議結束之前就會結束,所以完全不太會去影響到整個架構。
[04:37] 我們先講為什麼會有這個論點,我一直覺得不會有太大的影響性。
[04:44] 回過頭來,其實我們上次在Podcast講,其實有事情的時候分成三種階段,第一種就是這一次。
[04:52] 就是你不要發生的事情一直去聽、看到正常人現象,你會去看第一個市場的氛圍,第二則看媒體的報導。
[05:02] 正常所有的人資訊都來這兩個。
[05:05] 所謂的市場的氛圍簡單來講就是股市的表現。
[05:09] 這個時候股市一定是跌的,然後媒體一定告訴你在寫的時候,因為沒辦法,我要先幫記者說個話,不是人家願意這樣寫,因為這樣點擊率才會高。
[05:19] 因為這個時候他一定必須要寫說這個很嚴重,才會有點點擊率。
[05:24] 所以這個雞生蛋單身雞這個是一個人性正常的現象,會導致人家自然會引導這樣寫。
[05:31] 那你才會點閱
[05:32] 那回過頭來為什麼我覺得這個不會有太大的疑慮
[05:37] 第一個部分其實要記得最重要的關鍵點的key man就是一個
[05:42] 就是川普
[05:43] 因為其他人說什麼都不當做一回事
[05:46] 當川普說no就是no
[05:48] 因為你他說我就是不要
[05:50] 我就是沒有規範
[05:52] 然後呢怎樣怎樣怎樣
[05:53] 其他人你要自主規範
[05:55] 我幫你拍拍手
[05:56] 但是理論上我不可能讓這個腳步放慢下來
[06:00] 這兩者的分析是否合理?
[06:30] 現在站出來的人是不是他的那些人論點是不是他的簡單的概念就是其實現在的AI軟體跑的速度太快然後呢已經超越那條原本的安全防線了他意思說他要求不多是不是每個人每一家公司軟體要出去之前要有第三方進到公司來看你到底那個安全防護該做的是不是做完了那才能夠出去那他的意思就是說
[07:00] 真正的這家大公司沒有錯現在出來的都是最大的公司
[07:04] 現在的問題最大的公司敢喊代表其實他們已經做得到
[07:10] 對吧其實蠻直覺的合理就代表著現在他們要求這件事情對他們其實沒有人會拿石頭砸自己的腳
[07:19] 他會要求代表著其實他們對他們來講第一他們做得到第二對他們衝擊不會太大
[07:24] 所以他們希望大家都做這件事情就川普的言論的論點是這樣
[07:29] 可是他認為可能會卡到一些中小型的最後的現象就是強者會越來越強,弱者是永遠都上不來。
[07:39] 所以他覺得沒關係你不用管,規範其實我已經有規範了,所以這個喊話的不是你該喊的,是我喊的,川普的論點就是這樣。
[07:47] 規範我都懂,我也知道,我不是沒在看我都有在看,然後他也在講你們這些大咖的如果願意自己做得更安全更好,絕對幫你拍拍手。
[07:58] 但是不是他們喊話希望其他人也都對應他們的邏輯去做事情。
[08:07] 所以這個是我剛剛講最大論點就是Key Man 說No。
[08:11] 所以代表這整件事情整個就冷掉九成了,不是你說了就算。
[08:16] 第二個問題,我們上次Podcast也講,記得一件事情,尋找過去經驗。
[08:23] 2023年3月也發生過了,一模一樣,而且上次的論點比這次更大,一樣就是馬斯克提出來的論點,三年前也是同個人,而且那時候他提出來的論點不是說要放緩,當時是提到要暫停半年,而且他有提到說希望建制好之後才能重新加速,當時超過三萬人連署了他的公開信,最後也是不了了之。
