[00:00] 歡迎收聽《照懷古惑仔》第1187集,今天是2026年的9月18號。
[00:12] 哇,在星期五,很難得看到這樣的行情,今天體感是非常好哦。
[00:17] 昨天有聊到說,昨天似乎是漲一半,整個漲點留下一個長長的上影線。
[00:23] 那當然有提到,因為這個升息一碼這件事情,雖然9月是不出意外了嘛,
[00:29] 因為畢竟那時候機率拉到那麼高,那12月也有可能再升,甚至到2027年都有可能再升,那它難免還是會讓大家有一點點半信半疑,所以昨天有一點點的壓力,但是呢,我們昨天等很久哦,等到下午5點多,央行的利率決策終於出來,是我們央行的,我們的央行做了什麼呢?利率連時動,繼續動利率,我們不升息哦,這就很有意思,我們等一下可以來探討哦。
[00:58] 我們不升息,那我們跟美國的利差就可能會拉開來了嘛,那當然美元可能就會進一步的在做走強,對於我們的外銷來說應該也算是一個助力了,還有就是對於大家在籌資貸款上面的壓力,欸,我們沒有什麼要新增的壓力,甚至昨天還附贈了一個房市的管制,還把它稍微放鬆,但大家可以看到,今天盤面上歡欣鼓舞的幾乎全數是科技股,
[01:27] 雖然銀件股也有動,但並不是像大家想的,今天一開盤,好多銀件股會漲停,不是這樣耶,今天一開盤我很意外的是,所有的半導體上中下游都在漲,真的是很整齊的在漲,我們前幾天不斷的講封測好委屈,今天封測不委屈了,今天金元電漲停,幾乎所有的封測股都大漲,這個新泉、矽格都大漲了,設備股也大漲,對不對,想要上游的話,這個從華邦電又要再增資加碼到新唐,新唐漲停之外,
[01:57] 創意這種高價的業障聽,哇,今天整個半導體真的是歡欣鼓舞,那你說有沒有什麼新的消息?其實我必須說,盤面上沒有什麼特別新的消息,可是氣氛卻大幅轉變,發生什麼事?太好了,今天的來賓一樣,星期五了,星期五呢,凱哥來告訴大家,為什麼今天在市場的情緒有這麼大的正向表列呢?來請教凱哥啦。
[02:22] 趙華各位聽眾大家好
[02:24] 基本上這個盤我們很早就講
[02:27] 9月的升息應該機率是非常大
[02:29] 在大家都還沒有講都還認為不升的時候
[02:32] 凱哥是升息派
[02:33] 我就說要升了要升了
[02:34] 凱哥是升息派
[02:35] 我說他可能就是要做預防性的升息
[02:37] 綠害綠害
[02:38] 對那果然最終就是大家好像都開始站在升息的這邊
[02:42] 可是開始升息之後
[02:44] 反而原本那些多頭的人的想法開始改變了
[02:47] 你看投信法也是一樣
[02:48] 投信法過去這段時間都在買什麼
[02:50] 都在買金融股
[02:51] 為什麼
[02:51] 因為他們覺得升息完之後市場會不好
[02:55] 但是是這樣子嗎?不是
[02:57] 我記得上次你們就跟我說乾脆就趕快給我們一刀
[02:59] 沒錯
[03:00] 就是這刀趕快給我們嘛
[03:02] 來個痛快
[03:04] 因為你要知道AI的成長
[03:06] 它是不受升息的影響
[03:08] 它也不會受到油價高漲的影響
[03:10] 它比較擔心的是籌不到錢
[03:12] 會有籌資的問題
[03:14] 因為大家都還在紮錢嘛
[03:16] 那其實我們的市場其實跟日韓是一樣的
[03:19] 我們在前天在FED還沒有升息的那一天我們就已經先漲了
[03:24] 因為就覺得說好像應該就升完就沒事了
[03:27] 因為那天其實大家也知道會升
[03:29] 可是升完之後其實大家看了一下左右鄰居
[03:32] 好像都沒有人要表態
[03:34] 所以那個火就有點熄掉
[03:36] 左右鄰居
[03:36] 火就有點熄掉了
[03:37] 那其他美股又沒有直接表態
[03:39] 所以一直到昨天晚上的美股表態之後
[03:42] 大家開始吃一個定心丸
[03:43] 那看來真的是短期的利空結束了
[03:46] 因為其實你看很多的投資報告告訴你說
[03:49] 這次升息不代表長期升息的循環開始,它認為長期升息循環還是要看年底的那一次。
[03:57] 所以等於是這次升完之後會有一段的空窗,那其實對市場而言最怕的就是不確定,我不確定我不知道怎麼操作,可是一旦確定了它就會有一個比較積極的心態。
[04:11] 今天市場很妙的是我們看到現在小納還在漲喔
[04:16] 告訴你小納目前是一個多頭架構
[04:18] 5日線、10日線、20日線跟季線全部都上揚的
[04:22] 全亞洲這個地方也是這樣子
[04:25] 就是台灣的大盤
[04:26] 台灣大盤目前也是一個多頭架構
[04:29] 其實我們比日韓還要強喔
[04:32] 日本現在月線是下彎的
[04:34] 韓國基本上也還在接近走平的階段
[04:38] 只有台灣已經開始表態說
[04:40] 你們既然不敢表態,那就我來表態好了,我拉給你們看。
[04:45] 所以你看大盤,基本上他的形態高在47429已經站上,他現在就差一個大量高的一個,欸不對不對,47429形態高還沒有站上,大量高已經站上了,大概46188,所以大盤接下來可能就在形態高這邊稍微震盪一下,他就持續走自己的路。
[05:03] 那因為大盤已經是多頭架構了,現在就看櫃買,因為櫃買是月線是上彎的,可是它的季線還在往下走。
[05:11] 但因為大盤已經吃了一顆定需完之後,我認為櫃買接下來它就會活過來,也就是說我們的投信會開始什麼?開始聞到不對勁的氣氛,就是這行情好像是偏多了,我們之前會不會太保守了?
[05:23] 他們就開始會去扭轉他們的架構
[05:26] 基本上貴買的投信在買什麼?
[05:28] 他買的是很多是屬於高殖利率的概念股
[05:32] 什麼星象啊這些
[05:33] 其他買比較少的是他們認為是進可攻退可守的
[05:37] 聯電、像所謂的齊邦
[05:41] 這些基本上是進可攻退可守的
[05:43] 可是他們沒有買到很Sally的股票
[05:46] Sally的股票其實最近就是點放點放
[05:49] 例如說像玉金光、聯義光這種就點放點放
[05:52] 沒有很強
[05:53] 甚至於像設備股的大量
[05:55] 像昨天楊博拉一根今天又打下來
[05:58] 其實他是點放點放
[05:59] 但是在點放過程裡面其實主力在佈局這些股票
[06:02] 這些股票不是升息完之後才佈局的
[06:05] 而是在升息前的一兩週他們就在佈局
[06:08] 也就是說這些股票當升息確定之後
[06:11] 他們就會開始怎樣?開始做多
[06:14] 所以我認為投信也會回來這一塊
[06:17] 那因為最近其實還是蠻多鬼故事的
[06:19] 例如說CCL的鬼故事
[06:21] 等一下也會聊
[06:21] 然後想說什麼AI的進步太快了,這個會影響到人類的存活,會把人類殺光,會把人類消滅。
[06:30] 但是我就講說你要知道他在講把AI把人類消滅這件事情是從軟體的角度來看,從他們的推進的速度來看,
[06:39] 可是不是從硬體的角度來看,因為硬體基本上現在根本就還沒有完全能夠搭配這樣的一個氛圍,
[06:45] 因為大家知道其實AI還正在落地
[06:48] 我們常常講一個邏輯嘛
[06:50] 到底是有多少人付錢用ChargeVT、用Gemini
[06:54] 其實這比重還是很低啊
[06:56] 在那麼低的情況下你就說這個AI要消滅人類
[06:59] 顯然就是我們必須講它是有預防性的講話
[07:03] 但是大家把它從預防變成是現在進行式
[07:07] 那顯然就不太對
[07:08] 因為你看到包括像這個AWS還是Amaron
[07:13] 他們還在買發電機耶,告訴你什麼?電還不夠耶,還在買發電機。
[07:18] 而且發電機這個市場,他買之後,他要到他的AI生態鏈可以成熟大概要6到7年。
[07:24] 我們現在在看的矽光子,基本上我們上次還在講NPO,為什麼要講NPO?
[07:29] 因為矽光子根本CPU都還沒有成熟,CPU到2028年,這個階段要先進行什麼是NPO。
[07:35] 所以告訴你說,整個硬體的架構上其實根本都還在如火如荼的前進當中。
[07:40] 現在已經看到末日,顯然是講太早了。
[07:45] 所以黃學羽跳出來講話說,不會的,因為我們會把人類的意識架構在AI裡面。
[07:51] 這是為什麼我們的AI其實越來越接近人,但是它還不是人。
[07:55] 我們看一件事情,你看輝達的技術長,他說他老婆現在跟他講話時間很傻,跟AI講話時間很多。
[08:03] 其實我覺得很正常,因為他跟AI講話,AI能夠完全回饋他。
[08:08] AI可以給情緒價值
