[00:00] 歡迎收聽《照華一股貨載》第1191集,今天是2026年的9月24號。
[00:12] 不曉得大家聽到這一集的時候,是不是已經在準備放假的下班路上,或是已經放假的晚上,或者是有些人可能比較辛苦,雖然別人可能是中秋節的連假,但是排班啦,或是服務業啊,沒有辦法連續休這麼多天的,
[00:28] 搞不好客人或生意還更多的也有。
[00:31] 不過無論如何,中秋節也算是一個大的節日嘛。
[00:35] 大家都說月圓人團圓,很重視這個節慶。
[00:40] 而且我想大家也吃了不少的蛋黃酥啊、烤肉啊。
[00:44] 不知道會不會變胖,但是肯定會變胖,大概是中秋節給大家的感受。
[00:49] 那台股今天我覺得算蠻強的。
[00:51] 因為今天一開盤的時候,事實上昨天晚上美股是有一些比較利空的消息。
[00:56] 當然就是又再美伊,奇怪習近平不是已經飛去美國要穿習會了嗎?但是又在講要殲滅伊朗這樣的事情,所以美國的公債殖利率又再度飆高,現在十年期的公債殖利率已經突破5.1個百分點,油價也從100塊以下又回到100塊以上。
[01:16] 昨天的夜盤中間有殺了500點之多,可是今天台股收盤只有跌了132點,甚至盤中還一度讓我以為在尾盤翻紅嗎?
[01:28] 我們比較受到的是廉價效應,所以今天的量能只有7300多億。看得出來台股很扛啊!大家對於爆股過節、長假後台股能夠續創新高,看來目前是正向表列喔!
[01:45] 我們這個禮拜沒有星期五的開盤日,所以我們的星期五男孩今天必須當星期四男孩先來歡迎我們的黃峰凱凱哥。
[01:55] 大家好,各位觀眾觀眾大家好。
[01:56] 因為上個禮拜五我們有講說這個禮拜只有四個交易日,本來以為完了那我們的禮拜五男孩呢,結果沒關係,他禮拜四就提早來了。
[02:05] 這個禮拜我想大家的感受上不會太差,但是有一點點怎麼講,又要放長假啦,然後有點愁愁,可是指數確實是有先創下歷史新高喔,只是這個歷史新高後來當天漲點被沒收,那這兩天一天漲一天跌,其實就有點溫溫的,溫溫的似乎就希望是等到長假過後,我們再一口氣做表現。
[02:31] 那當然這禮拜我想在廉價過程中大家可以關注的一定是有川喜會對不對
[02:36] 川喜會談了什麼以及台積電的所謂的OIP論壇
[02:40] 這個東西到昨天晚上開幕可是今天其實並沒有非常多的消息進來
[02:46] 只有一些反而是國外的半導體廠商有自己發表新聞稿
[02:51] 我覺得這還蠻有趣的說已經跟台積電取得這個OIP裡面的什麼雲端的一個會員的連結什麼的
[02:59] 好,可見的其實台積電在世界的半導體領域裡面大家還是非常重視能不能跟他合作,大概目前收到訊息是這樣,那接下來我們有四天的長假,我們就不妨趁這四天多做做功課以及聽凱哥講,到底這四個交易日,排名上的籌碼或產業有發生什麼樣的變化?
[03:19] 對,我想今天的量比較不夠,我想很多人可能都是排隊買月餅了。
[03:24] 已經買好了吧?
[03:26] 有些店家我看排很大,人樓嘛,所以可能買不太到。
[03:31] 但是我記得我們在上個禮拜錄節目的時候,其實在答案秀裡面就有很多的答人說,他們又在今天,就在今天要進來買台股,還記得嗎?
[03:40] 他們說他們怎麼樣,他們冷靜以對,所以他們到今天才要進場買台股,可是顯然他們買的量不夠大,所以我們今天的量不夠嘛。
[03:48] 我們今天只有7000多
[03:50] 但是呢
[03:51] 這個也告訴你就是說其實大家蠻冷靜的
[03:54] 就是
[03:55] 這個週的上半週大家一度激情之後其實大家回頭想說
[03:59] 還沒吃月餅欸不要太High
[04:01] 就大家就慢慢冷卻一下
[04:03] 而且是在過去的幾天其實櫃買稍微一點降溫
[04:06] 對
[04:06] 櫃買很降溫
[04:06] 但是其實櫃買降溫其實我不意外
[04:09] 為什麼之前就跟大家講過了
